source,N,K,solver,wall_time_median,wall_time_mean,wall_time_std,objective_median,gap_median_pct,gap_mean_pct,feasible_rate,n_runs
bootstrap-sp500,50,12,ecos_bb,0.10175710700423224,0.12826760033446286,0.05751056607462738,-0.21939219691245884,0.0013793493532750674,0.009770963703253132,1.0,3
bootstrap-sp500,50,12,neal,1.6812890930013964,2.1631259850012916,0.9841136574498442,-0.2139403745482612,2.486311466923735,2.3335501866777335,1.0,3
bootstrap-sp500,50,12,scip,0.4528152000057162,0.48413352300121915,0.11566727604771253,-0.2193951521911024,1.129647907712281e-05,1.4865420630089806e-05,1.0,3
bootstrap-sp500,50,12,tabu,4.609689214004902,4.562242028337399,0.17496480019628632,-0.21939522313905033,0.0,2.6041830562103036e-08,1.0,3
bootstrap-sp500,100,25,ecos_bb,0.7759763409994775,0.8900648310009274,0.4483087533185477,-0.22440388375913894,0.020026132443245907,0.019732761537085402,1.0,3
bootstrap-sp500,100,25,neal,7.272559780998563,6.712716343667125,1.2227543106639853,-0.22117372010798125,0.8514514780959727,1.3744538842584753,1.0,3
bootstrap-sp500,100,25,scip,2.042913810000755,2.0650981539996187,0.2973010226194163,-0.22444855173256179,0.0001249491806347317,0.00010539040887232839,1.0,3
bootstrap-sp500,100,25,tabu,4.449451409003814,4.4402599906679825,0.06445297597564018,-0.22444883217953854,0.0,1.4318386119719302e-07,1.0,3
bootstrap-sp500,200,50,ecos_bb,6.001740478997817,5.545650917330931,1.5692330231268996,-0.24762536811262303,0.016666140973268285,0.014523406324750993,1.0,3
bootstrap-sp500,200,50,neal,17.259196671999234,17.32054023233407,0.9625670979084457,-0.24648320469668483,0.4778357982168563,1.2140101367569127,1.0,3
bootstrap-sp500,200,50,scip,6.3072857259976445,5.960728357000335,0.8445649735856501,-0.24766647040802614,7.032708318247502e-05,7.464439005509407e-05,1.0,3
bootstrap-sp500,200,50,tabu,4.742439778005064,4.691498040335621,0.18887209321643483,-0.2476666445847533,0.0,4.760676416340777e-07,1.0,3
bootstrap-sp500,300,75,ecos_bb,17.718284795999352,16.4764162800008,2.4443791567062254,-0.24800919992487036,0.03417743383408342,0.03638244939356838,1.0,3
bootstrap-sp500,300,75,neal,36.72688684300374,35.40057267533363,3.5562581096138057,-0.2467672534124358,0.5753590309978118,0.5515277683688223,1.0,3
bootstrap-sp500,300,75,scip,10.139557697999408,10.192834160334314,0.8339338446329291,-0.24819486401821358,0.00016248461584785374,0.00017369647382238022,1.0,3
bootstrap-sp500,300,75,tabu,5.249418975006847,5.377156114336685,0.3020617827282565,-0.2481952672973402,0.0,0.0,1.0,3
bootstrap-sp500,500,125,ecos_bb,91.3327142210037,96.96439705200221,13.514131544640046,-0.2538251020341694,0.06882473311784544,0.07115334463882268,1.0,3
bootstrap-sp500,500,125,neal,100.73705340300512,96.9937925643341,7.1674508463302065,-0.2511198857072795,1.5726016641570788,1.4245636425342874,1.0,3
bootstrap-sp500,500,125,scip,21.086412254000606,20.98761920599888,0.3221385732065742,-0.25399988250296757,3.869042547177742e-05,5.1807555979551854e-05,1.0,3
bootstrap-sp500,500,125,tabu,7.874249088999932,7.470605365332934,0.7197249645049622,-0.2539999167990259,0.0,0.0,1.0,3
synthetic,20,5,ecos_bb,0.02941001200088067,0.03219883833662607,0.005230205408154008,-0.21315454337612785,2.4995892492973574e-09,2.7553536504981955e-09,1.0,3
synthetic,20,5,neal,0.9210965519960155,1.0436748649978351,0.21526558024239206,-0.20834144852848857,2.4631752020353685,2.330731363493733,1.0,3
synthetic,20,5,scip,0.4296426309956587,0.5015125579981637,0.16165347055327034,-0.2131545300478827,6.255354881470745e-06,8.254270474266598e-06,1.0,3
synthetic,20,5,tabu,4.4289860270000645,4.439048290999684,0.11185795992839653,-0.21315454338145584,0.0,0.0,1.0,3
synthetic,30,8,ecos_bb,0.04947342399827903,0.04974845633356987,0.0015627386544847571,-0.21113035211973638,7.25104537296804e-10,0.004229189122360629,1.0,3
synthetic,30,8,neal,0.760724173997005,0.7702523656650252,0.0173071236816194,-0.2083663457746632,1.4730314498099035,2.5578590782605573,1.0,3
synthetic,30,8,scip,0.5730515370014473,0.7546361783364167,0.3432800832058162,-0.21115713466037617,6.998471722012953e-06,8.803172322282673e-06,1.0,3
synthetic,30,8,tabu,4.271397535005235,4.2863862503363634,0.04081478666678556,-0.21115714282295134,0.0,0.00889768330918501,1.0,3
synthetic,50,12,ecos_bb,0.19967621000250801,0.2009150073354249,0.017709015431789283,-0.2115835791744259,0.009757120927618643,0.0173432294435918,1.0,3
synthetic,50,12,neal,1.0860336539990385,1.092777043665895,0.019115223566860507,-0.20079358802487432,7.407083075817267,6.7263265538757615,1.0,3
synthetic,50,12,scip,2.064096163994691,2.0859945499978494,0.3426224200603587,-0.2116041836869542,1.983309013058536e-05,1.957194678176331e-05,1.0,3
